French,English
aide,help
mois,month
car,because
mettre,to put
aucun,no
ville,city
parlé,speak
devrait,should
heures,hours
aucune,any
place,square
savais,knew
étaient,were
attention,Warning
voici,here is
affaire,case
donner,give
leurs,their
donné,given
corps,body
yeux,eyes
trouve,find
perdu,lost
main,hand
côté,side
matin,morning
point,point
pardon,sorry
devant,in front of
vers,towards
minutes,minutes
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
enfin,finally
espère,hope
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
croire,believe
plutôt,rather
